school_name,official_school_website,twitter,facebook
Central Wash.,https://wildcatsports.com,https://twitter.com/@CWUAthletics,https://facebook.com/CWU.Athletics
Centre,https://centreathletics.com,https://twitter.com/@CentreAthletics,https://facebook.com/centreathletics
Chadron St.,https://chadroneagles.com,https://twitter.com/@csceagles,https://facebook.com/csceagles
Chaminade,https://goswords.com,https://twitter.com/@goswords,https://facebook.com/goswords
Chapman,https://chapmanathletics.com,https://twitter.com/@ChapmanSports,https://facebook.com/ChapmanAthletics
Charleston So.,https://csusports.com,https://twitter.com/@CSUsports,https://facebook.com/CSUsports
Charleston (WV),https://ucgoldeneagles.com,https://twitter.com/@uc_goldeneagles,https://facebook.com/CharlestonGoldenEagles
Charlotte,https://charlotte49ers.com,https://twitter.com/@Charlotte49ers,https://facebook.com/charlotte49ers
Chatham,https://gochathamcougars.com,https://twitter.com/@chathamcougar,https://facebook.com/ChathamAthletics
Tenn-Chattanooga ,https://gomocs.com,https://twitter.com/@GoMocs,https://facebook.com/ChattanoogaMocs
Chestnut Hill,https://griffinathletics.com,https://twitter.com/@CHCAthletics,https://facebook.com/griffinathletics
Cheyney,https://cheyneywolves.com,https://twitter.com/@cuwolves,https://facebook.com/pages/Cheyney-University-Athletics/146451735388064
Chicago,https://athletics.uchicago.edu/,https://twitter.com/@ChicagoMaroons,https://facebook.com/chicagomaroons
Chicago St.,https://gocsucougars.com,https://twitter.com/@chistatecougars,https://facebook.com/ChicagoStateAthletics
Chico State,https://chicowildcats.com,https://twitter.com/@ChicoWildcats,https://facebook.com/ChicoUKnow
Chowan,https://gocuhawks.com,https://twitter.com/@cuhawks,https://facebook.com/chowanuniversity
Chris. Newport,https://cnusports.com,https://twitter.com/@CNUAthletics,https://facebook.com/CNUAthletics
Christian Bros.,https://gobucsgo.com,https://twitter.com/@gobucsgoCBU,https://facebook.com/gobucsgo
Cincinnati,https://gobearcats.com,https://twitter.com/@GoBEARCATS,https://facebook.com/UniversityofCincinnatiBearcats
Citadel,https://citadelsports.com,https://twitter.com/@CitadelSports,https://facebook.com/citadelbulldogs
Claflin,https://athletics.claflin.edu,https://twitter.com/@ClaflinPanthers,https://facebook.com/ClaflinPanthers14
Claremont-M-S,https://cmsathletics.org,https://twitter.com/@AthleticsCMS,https://facebook.com/AthleticsCMS
Clarion,https://clariongoldeneagles.com/,https://twitter.com/@clarioneagles,https://facebook.com/ClarionGoldenEagles
Clark Atlanta,https://clarkatlantasports.com,https://twitter.com/@caupanthers,https://facebook.com/cau.panthers.1?fref=ts
Clark (MA),https://clarkathletics.com,https://twitter.com/@clarkathletics,https://facebook.com/pages/Clark-Cougars/157787269333
Clarke,https://clarkecrusaders.com,https://twitter.com/@ClarkeAthletics,https://facebook.com/pages/Clarke-University-Athletics/185150068237736
Clarkson,https://clarksonathletics.com,https://twitter.com/@ClarksonUSports,https://facebook.com/ClarksonUniversity
Clayton St.,https://claytonstatesports.com,https://twitter.com/@CSULakers,https://facebook.com/pages/Clayton-State-Athletics/193520470712479
Clemson,https://clemsontigers.com,https://twitter.com/@ClemsonTigers,https://facebook.com/clemsontigers
Cleveland St.,https://csuvikings.com,https://twitter.com/@csu_athletics,https://facebook.com/CSUVikings
Coast Guard,https://cgasports.com,https://twitter.com/@CoastGuardBears,https://facebook.com/pages/US-Coast-Guard-Academy-Athletics/279252545470978
Coastal Caro.,https://goccusports.com,https://twitter.com/@goccusports,https://facebook.com/ChaunceyCCU
Suny-Cobleskill ,https://fightingtigers.cobleskill.edu,https://twitter.com/@FightingTigers_,https://facebook.com/pages/The-Fighting-Tigers/356910181035934
Coe,https://coeathletics.com,https://twitter.com/@CoeAthletics,https://facebook.com/CoeAthletics
Coker,https://cokercobras.com,https://twitter.com/@Coker_Cobras,https://facebook.com/cokercobras
Col. of Charleston,https://cofcsports.com,https://twitter.com/@cofcsports,https://facebook.com/cofcsports
Colby,https://colby.edu/athletics,https://twitter.com/@themules,https://facebook.com/colbycollege
Colby-Sawyer,https://colby-sawyerathletics.com,https://twitter.com/@CSCAthletics,https://facebook.com/CSCAthletics
Colgate,https://gocolgateraiders.com,https://twitter.com/@ColgateAthletic,https://facebook.com/pages/Colgate-Raider-Nation/188582690463
Colo. Christian,https://ccucougars.com,https://twitter.com/@ccucougars ,https://facebook.com/ccucougars 
Colorado,https://cubuffs.com,https://twitter.com/@cubuffs,https://facebook.com/ColoradoAthletics
Colorado Col.,https://cctigers.com,https://twitter.com/@CCTigers,https://facebook.com/CCTigers
Colorado Mesa,https://mesamavs.com,https://twitter.com/@CMUMavericks,https://facebook.com/CMUMavericks
Colorado School of Mines,https://csmorediggers.com,https://twitter.com/@MinesAthletics,https://facebook.com/MinesAthletics
Colorado St.,https://csurams.com,https://twitter.com/@csuathletics,https://facebook.com/CSURams
Colorado St.-Pueblo,https://gothunderwolves.com,https://twitter.com/@gothunderwolves,https://facebook.com/PackAthletics
Columbia,https://gocolumbialions.com/,https://twitter.com/@GoColumbiaLions,https://facebook.com/ColumbiaAthletics
Columbus St.,https://csucougars.com,https://twitter.com/@csucougars,https://facebook.com/csucougars
Concord,https://cumountainlions.com,https://twitter.com/@cumountainlions,https://facebook.com/pages/Concord-University-Athletics/368312779891850
Concordia Chicago,https://cucougars.com,https://twitter.com/@CUChicagoSports,https://facebook.com/ConcordiaUniversityChicagoCougarAthletics
Concordia University Irvine,https://cuigoldeneagles.com,https://twitter.com/@cuieagles,https://facebook.com/cuieaglesathletics
Concordia-M'head,https://gocobbers.com,https://twitter.com/@CobberSID,https://facebook.com/ConcordiaCollegeCobberAthletics
Concordia-St. Paul,https://cugoldenbears.com,https://twitter.com/@CUGoldenBears,https://facebook.com/cugoldenbears
